iter	Passed	Remaining
0	10	5075
1	16	4028
2	21	3589
3	27	3376
4	33	3273
5	39	3288
6	45	3232
7	51	3169
8	57	3121
9	62	3077
10	68	3038
11	74	3011
12	79	2983
13	85	2961
14	91	2949
15	96	2932
16	102	2920
17	108	2912
18	114	2894
19	120	2880
20	125	2866
21	131	2855
22	137	2849
23	143	2840
24	148	2829
25	154	2818
26	160	2808
27	166	2800
28	172	2798
29	177	2788
30	183	2777
31	189	2767
32	194	2757
33	200	2747
34	206	2742
35	212	2735
36	217	2726
37	224	2724
38	229	2717
39	235	2710
40	241	2704
41	247	2696
42	253	2691
43	259	2690
44	266	2690
45	271	2681
46	277	2672
47	283	2671
48	291	2678
49	297	2675
50	303	2670
51	309	2665
52	315	2658
53	320	2650
54	326	2640
55	332	2634
56	337	2624
57	343	2617
58	349	2609
59	355	2603
60	360	2596
61	366	2589
62	372	2581
63	377	2573
64	383	2565
65	389	2561
66	395	2554
67	401	2548
68	406	2539
69	412	2533
70	418	2526
71	424	2520
72	430	2515
73	435	2509
74	441	2504
75	447	2498
76	454	2496
77	460	2489
78	466	2483
79	471	2476
80	477	2470
81	483	2464
82	489	2457
83	495	2451
84	500	2444
85	506	2437
86	512	2433
87	518	2427
88	524	2420
89	529	2413
90	535	2407
91	541	2399
92	546	2393
93	552	2386
94	558	2381
95	564	2375
96	570	2369
97	576	2362
98	581	2356
99	587	2349
100	593	2344
101	599	2337
102	604	2330
103	610	2324
104	616	2317
105	621	2310
106	627	2304
107	634	2301
108	639	2295
109	646	2291
110	652	2286
111	658	2281
112	664	2275
113	670	2269
114	675	2262
115	681	2256
116	687	2250
117	693	2243
118	698	2237
119	704	2231
120	711	2227
121	716	2221
122	722	2214
123	728	2208
124	733	2201
125	739	2194
126	745	2188
127	750	2181
128	756	2175
129	762	2169
130	767	2162
131	773	2156
132	779	2152
133	785	2146
134	791	2140
135	797	2133
136	803	2127
137	808	2122
138	814	2115
139	820	2109
140	826	2104
141	832	2098
142	838	2092
143	844	2086
144	849	2080
145	855	2074
146	861	2068
147	866	2062
148	872	2055
149	878	2049
150	884	2043
151	889	2037
152	895	2031
153	901	2025
154	907	2019
155	912	2012
156	918	2006
157	924	2001
158	930	1995
159	936	1990
160	943	1986
161	949	1980
162	954	1974
163	961	1969
164	967	1964
165	974	1960
166	980	1955
167	986	1949
168	992	1944
169	998	1938
170	1004	1933
171	1011	1928
172	1017	1922
173	1023	1916
174	1029	1911
175	1035	1906
176	1041	1901
177	1047	1895
178	1053	1889
179	1059	1883
180	1065	1878
181	1071	1872
182	1077	1866
183	1083	1860
184	1089	1854
185	1094	1848
186	1100	1842
187	1107	1837
188	1113	1831
189	1119	1826
190	1125	1821
191	1131	1815
192	1137	1809
193	1143	1803
194	1149	1797
195	1155	1791
196	1161	1785
197	1167	1780
198	1173	1774
199	1179	1768
200	1185	1763
201	1191	1757
202	1196	1751
203	1202	1745
204	1208	1739
205	1214	1733
206	1220	1727
207	1226	1721
208	1232	1715
209	1238	1709
210	1244	1704
211	1250	1698
212	1256	1692
213	1262	1687
214	1268	1680
215	1273	1674
216	1279	1668
217	1285	1662
218	1291	1657
219	1297	1650
220	1302	1644
221	1308	1638
222	1314	1632
223	1320	1626
224	1325	1620
225	1331	1614
226	1337	1608
227	1343	1602
228	1349	1596
229	1355	1591
230	1361	1585
231	1367	1579
232	1374	1574
233	1381	1570
234	1388	1566
235	1395	1560
236	1401	1555
237	1407	1549
238	1413	1543
239	1419	1537
240	1425	1531
241	1431	1525
242	1437	1519
243	1442	1513
244	1448	1507
245	1454	1502
246	1460	1496
247	1466	1489
248	1472	1484
249	1478	1478
250	1483	1472
251	1489	1466
252	1495	1460
253	1501	1454
254	1507	1448
255	1513	1442
256	1519	1436
257	1525	1430
258	1530	1424
259	1537	1418
260	1542	1412
261	1548	1406
262	1554	1400
263	1560	1394
264	1565	1388
265	1571	1382
266	1577	1376
267	1583	1370
268	1589	1364
269	1595	1358
270	1600	1352
271	1606	1346
272	1612	1340
273	1618	1334
274	1624	1328
275	1630	1323
276	1637	1317
277	1643	1312
278	1649	1306
279	1655	1300
280	1661	1294
281	1667	1288
282	1672	1282
283	1678	1276
284	1683	1270
285	1689	1264
286	1695	1258
287	1701	1252
288	1707	1246
289	1712	1240
290	1718	1234
291	1724	1228
292	1730	1222
293	1736	1216
294	1741	1210
295	1747	1204
296	1753	1198
297	1758	1192
298	1764	1186
299	1770	1180
300	1776	1174
301	1782	1168
302	1788	1162
303	1793	1156
304	1799	1150
305	1805	1144
306	1811	1138
307	1817	1132
308	1823	1126
309	1828	1120
310	1834	1115
311	1841	1109
312	1847	1103
313	1853	1097
314	1859	1091
315	1864	1085
316	1870	1079
317	1876	1073
318	1881	1067
319	1887	1061
320	1893	1055
321	1899	1049
322	1904	1043
323	1910	1037
324	1915	1031
325	1921	1025
326	1927	1019
327	1932	1013
328	1938	1007
329	1944	1001
330	1950	995
331	1956	990
332	1962	984
333	1968	978
334	1974	972
335	1980	966
336	1985	960
337	1991	954
338	1997	948
339	2003	942
340	2009	937
341	2015	931
342	2021	925
343	2027	919
344	2033	913
345	2039	907
346	2045	901
347	2051	895
348	2057	890
349	2062	884
350	2068	878
351	2074	872
352	2080	866
353	2086	860
354	2092	854
355	2098	848
356	2104	843
357	2112	837
358	2118	832
359	2124	826
360	2130	820
361	2135	814
362	2141	808
363	2147	802
364	2153	796
365	2159	790
366	2165	784
367	2171	778
368	2177	772
369	2183	767
370	2189	761
371	2195	755
372	2201	749
373	2207	743
374	2213	737
375	2219	732
376	2225	726
377	2231	720
378	2238	714
379	2244	708
380	2251	703
381	2256	697
382	2262	691
383	2268	685
384	2274	679
385	2280	673
386	2285	667
387	2292	661
388	2298	655
389	2304	649
390	2310	643
391	2316	638
392	2321	632
393	2327	626
394	2333	620
395	2340	614
396	2346	608
397	2353	603
398	2359	597
399	2365	591
400	2372	585
401	2377	579
402	2384	573
403	2390	568
404	2396	562
405	2403	556
406	2408	550
407	2415	544
408	2421	538
409	2427	532
410	2433	527
411	2440	521
412	2446	515
413	2453	509
414	2459	503
415	2466	497
416	2471	492
417	2478	486
418	2484	480
419	2490	474
420	2497	468
421	2503	462
422	2508	456
423	2515	450
424	2520	444
425	2526	438
426	2533	433
427	2539	427
428	2545	421
429	2551	415
430	2557	409
431	2563	403
432	2569	397
433	2574	391
434	2580	385
